onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma5	0	n/a	n/a
14	3	alpha5	0	1	0.78685
18	3	beta2	0	1	0.97893
26	3	gamma4	0	1	0.86651
32	3	alpha4	0	1	0.77881
40	3	gamma2	0	1	1.4825
46	3	alpha3	0	1	0.89918
54	3	beta1	0	1	0.81039
58	3	beta5	0	1	1.3631
62	3	beta5	1	1	0.97088
68	3	gamma3	0	1	1.1231
74	3	gamma1	0	1	1.3142
80	3	alpha1	0	1	0.93066
88	3	beta4	0	1	0.77834
92	3	beta3	0	1	1.4355
96	3	alpha2	0	1	1.2677
102	3	gamma5	0	1	1.1388
106	3	alpha5	0	1	1.196
110	3	beta4	0	1	0.94804
116	3	beta1	0	1	0.88202
124	3	alpha1	0	1	1.1071
128	3	gamma2	0	1	1.076
134	3	gamma1	0	1	0.97965
138	3	alpha2	0	1	0.74825
146	3	gamma4	0	1	0.89991
150	3	alpha3	0	1	2.1883
154	3	alpha4	0	1	2.4601
158	3	beta3	0	1	0.71624
164	3	gamma3	0	1	0.86738
170	3	beta5	0	1	0.79704
176	3	beta2	0	1	1.4043
180	3	beta3	0	1	0.97264
186	3	alpha2	0	1	0.67717
194	3	alpha4	0	1	1.4374
200	3	beta1	0	1	1.3087
206	3	beta4	0	1	2.1733
214	3	beta5	0	n/a	n/a
222	3	gamma4	0	1	0.65357
226	3	gamma1	0	0	1.1013
230	3	beta2	0	1	1.2932
236	3	alpha5	0	1	0.66158
242	3	alpha5	1	1	1.3813
248	3	alpha1	0	0	1.5657
252	3	gamma2	0	1	0.78159
260	3	gamma5	0	1	0.95809
264	3	gamma3	0	1	1.07
270	3	alpha3	0	1	1.1177
278	3	beta3	0	1	1.006
282	3	alpha1	0	1	1.5502
286	3	gamma2	0	1	0.71014
292	3	gamma1	0	1	1.0385
298	3	gamma1	1	0	0.6381
302	3	beta1	0	1	0.75047
308	3	alpha4	0	1	1.2222
312	3	beta5	0	1	0.72637
318	3	gamma5	0	1	0.76633
322	3	beta4	0	n/a	n/a
328	3	beta2	0	1	0.81465
332	3	gamma4	0	1	1.1667
340	3	gamma3	0	1	0.7751
346	3	alpha2	0	1	0.99911
352	3	alpha5	0	1	0.70308
360	3	alpha3	0	1	0.6471
364	3	alpha3	1	1	1.1354
